Season,T1_ID,T2_ID,WScore,LScore,Target,SeasonAvgScore_T1,SeasonWinRatio_T1,TeamName_T1,SeedNumber_T1,SeasonAvgScore_T2,SeasonWinRatio_T2,TeamName_T2,SeedNumber_T2,Gender
1993,1153,1308,92,55,1,68.9375,0.8571428571428571,Cincinnati,2.0,73.83116883116884,0.7586206896551724,New Mexico St,7.0,Men
2024,1181,1241,93,55,1,78.35416666666666,0.75,Duke,4.0,75.93333333333334,0.9090909090909091,James Madison,12.0,Men
1993,1242,1143,93,76,1,76.06818181818181,0.7857142857142857,Kansas,2.0,77.25328947368422,0.7037037037037037,California,6.0,Men
1991,1326,1210,65,61,1,76.65333333333334,0.8928571428571429,Ohio St,1.0,81.73958333333334,0.5714285714285714,Georgia Tech,8.0,Men
1997,1257,1307,64,63,1,70.61141304347825,0.7419354838709677,Louisville,6.0,71.0776397515528,0.7666666666666667,New Mexico,3.0,Men
1988,1243,1247,66,53,1,76.725,0.7142857142857143,Kansas St,4.0,75.58212560386474,0.71875,La Salle,13.0,Men
1989,1301,1234,102,96,1,80.125,0.7142857142857143,NC State,5.0,88.4659090909091,0.7333333333333333,Iowa,4.0,Men
1997,1150,1207,79,67,1,69.60416666666666,0.7241379310344828,Charlotte,7.0,67.84795321637426,0.6785714285714286,Georgetown,10.0,Men
2014,1196,1107,67,55,1,65.0,0.9411764705882353,Florida,1.0,65.15476190476191,0.5625,SUNY Albany,16.0,Men
1987,1393,1443,104,86,1,78.01333333333334,0.8064516129032258,Syracuse,2.0,75.78,0.7575757575757576,WKU,10.0,Men
2004,1338,1416,53,44,1,64.64285714285714,0.875,Pittsburgh,3.0,65.40416666666667,0.8275862068965517,UCF,14.0,Men
2025,1291,1110,83,72,1,67.58333333333334,0.6363636363636364,Mt St Mary's,16.0,66.5,0.625,American Univ,16.0,Men
2011,1112,1181,93,77,1,72.94708994708995,0.7941176470588235,Arizona,5.0,74.75,0.8823529411764706,Duke,1.0,Men
2025,1196,1222,65,63,1,81.875,0.8823529411764706,Florida,1.0,74.55,0.8823529411764706,Houston,1.0,Men
2006,1455,1371,86,66,1,64.71195652173913,0.7419354838709677,Wichita St,7.0,66.0050505050505,0.6206896551724138,Seton Hall,10.0,Men
1985,1268,1298,64,59,1,69.68181818181819,0.6666666666666666,Maryland,5.0,74.84347826086956,0.8214285714285714,Navy,13.0,Men
1989,1371,1191,87,73,1,78.44,0.8064516129032258,Seton Hall,3.0,78.0375,0.8275862068965517,Evansville,11.0,Men
2012,1378,1396,58,44,1,57.26315789473684,0.59375,South Florida,12.0,73.94642857142857,0.7741935483870968,Temple,5.0,Men
2008,1462,1452,79,75,1,69.69444444444444,0.8181818181818182,Xavier,3.0,70.4304347826087,0.696969696969697,West Virginia,7.0,Men
2001,1242,1169,99,75,1,75.8030303030303,0.7857142857142857,Kansas,4.0,81.0,0.6896551724137931,CS Northridge,13.0,Men
1989,1123,1338,68,64,1,62.30555555555556,0.9310344827586207,Ball St,9.0,78.53676470588235,0.5862068965517241,Pittsburgh,8.0,Men
2003,1393,1328,63,47,1,73.4125,0.8275862068965517,Syracuse,3.0,65.54166666666667,0.8,Oklahoma,1.0,Men
2025,1276,1471,68,65,1,76.33111111111111,0.7352941176470589,Michigan,5.0,72.60714285714286,0.875,UC San Diego,12.0,Men
2023,1163,1116,88,65,1,75.155,0.7575757575757576,Connecticut,4.0,73.46153846153845,0.6060606060606061,Arkansas,8.0,Men
2004,1386,1403,70,65,1,72.5925925925926,0.9642857142857143,St Joseph's PA,1.0,70.92272727272727,0.6875,Texas Tech,8.0,Men
1992,1314,1104,64,55,1,83.86507936507937,0.7,North Carolina,4.0,76.86,0.7575757575757576,Alabama,5.0,Men
2018,1326,1355,81,73,1,72.5,0.75,Ohio St,5.0,79.47916666666666,0.8,S Dakota St,12.0,Men
1993,1428,1338,86,65,1,74.68939393939394,0.7857142857142857,Utah,8.0,75.68529411764706,0.6296296296296297,Pittsburgh,9.0,Men
1995,1280,1365,75,67,1,71.43928571428572,0.7407407407407407,Mississippi St,5.0,73.13333333333333,0.7692307692307693,Santa Clara,12.0,Men
2025,1246,1407,76,57,1,83.02272727272728,0.6666666666666666,Kentucky,3.0,69.87142857142857,0.6774193548387096,Troy,14.0,Men
2009,1437,1417,89,69,1,72.27472527472528,0.7878787878787878,Villanova,3.0,72.43,0.7575757575757576,UCLA,6.0,Men
2009,1338,1190,72,62,1,71.55092592592592,0.8709677419354839,Pittsburgh,1.0,75.66818181818182,0.6875,ETSU,16.0,Men
1987,1314,1323,74,68,1,81.0297619047619,0.9032258064516129,North Carolina,1.0,62.48701298701299,0.7586206896551724,Notre Dame,5.0,Men
2005,1277,1436,72,61,1,75.56060606060606,0.7857142857142857,Michigan St,5.0,68.8125,0.8,Vermont,13.0,Men
1986,1314,1428,84,72,1,81.01538461538462,0.8387096774193549,North Carolina,3.0,70.65204678362574,0.6785714285714286,Utah,14.0,Men
1987,1242,1283,67,63,1,73.36818181818182,0.6875,Kansas,5.0,64.42173913043479,0.8214285714285714,Missouri St,13.0,Men
1993,1231,1460,97,54,1,81.67261904761905,0.9032258064516129,Indiana,1.0,85.56140350877192,0.6785714285714286,Wright St,16.0,Men
2012,1378,1143,65,54,1,57.26315789473684,0.59375,South Florida,12.0,70.24305555555556,0.7272727272727273,California,12.0,Men
1997,1112,1375,65,57,1,82.2719298245614,0.6785714285714286,Arizona,4.0,60.33333333333333,0.7777777777777778,South Alabama,13.0,Men
1990,1258,1104,62,60,1,122.07391304347826,0.8214285714285714,Loy Marymount,11.0,70.79166666666666,0.75,Alabama,7.0,Men
2010,1449,1266,80,78,1,76.55555555555556,0.7272727272727273,Washington,11.0,70.4090909090909,0.6666666666666666,Marquette,6.0,Men
2000,1314,1409,59,55,1,76.13675213675214,0.5806451612903226,North Carolina,8.0,75.9655172413793,0.8787878787878788,Tulsa,7.0,Men
2008,1397,1139,76,71,1,79.66071428571428,0.875,Tennessee,2.0,61.316091954022994,0.90625,Butler,7.0,Men
2023,1246,1344,61,53,1,73.31601731601731,0.65625,Kentucky,6.0,76.25324675324674,0.65625,Providence,11.0,Men
2015,1428,1372,57,50,1,67.29891304347825,0.7419354838709677,Utah,5.0,72.42307692307692,0.8666666666666667,SF Austin,12.0,Men
1998,1345,1178,80,65,1,78.93406593406593,0.7878787878787878,Purdue,2.0,69.9909090909091,0.8148148148148148,Detroit,10.0,Men
1985,1207,1210,60,54,1,70.34,0.9259259259259259,Georgetown,1.0,68.25595238095238,0.7741935483870968,Georgia Tech,2.0,Men
2013,1276,1393,61,56,1,70.64,0.78125,Michigan,4.0,67.38034188034187,0.7428571428571429,Syracuse,4.0,Men
1988,1246,1380,99,84,1,72.72916666666666,0.8275862068965517,Kentucky,2.0,88.4047619047619,0.7777777777777778,Southern Univ,15.0,Men
1993,1435,1129,92,72,1,77.76923076923077,0.8387096774193549,Vanderbilt,3.0,73.47368421052632,0.7307692307692307,Boise St,14.0,Men
2007,1332,1457,75,61,1,73.9532967032967,0.7878787878787878,Oregon,3.0,69.89583333333334,0.8571428571428571,Winthrop,11.0,Men
2004,1228,1153,92,68,1,67.52083333333333,0.8,Illinois,5.0,75.375,0.8,Cincinnati,4.0,Men
2002,1246,1409,87,82,1,73.81871345029239,0.6785714285714286,Kentucky,4.0,79.53,0.8064516129032258,Tulsa,12.0,Men
1990,1210,1277,81,80,1,86.16666666666667,0.8,Georgia Tech,4.0,72.8923076923077,0.8387096774193549,Michigan St,1.0,Men
2012,1277,1387,65,61,1,67.8068783068783,0.7941176470588235,Michigan St,1.0,67.49404761904762,0.7741935483870968,St Louis,9.0,Men
2015,1323,1318,69,65,1,72.8551724137931,0.8529411764705882,Notre Dame,3.0,66.79841897233202,0.6764705882352942,Northeastern,14.0,Men
1986,1261,1345,94,87,1,72.96212121212122,0.6206896551724138,LSU,11.0,73.71388888888889,0.6896551724137931,Purdue,6.0,Men
2016,1314,1323,88,74,1,78.55952380952381,0.8235294117647058,North Carolina,1.0,73.12337662337663,0.65625,Notre Dame,6.0,Men
2000,1112,1238,71,47,1,74.33974358974359,0.8125,Arizona,1.0,67.06458333333333,0.5161290322580645,Jackson St,16.0,Men
2017,1438,1423,76,71,1,64.57727272727273,0.6875,Virginia,5.0,78.26666666666667,0.84375,UNC Wilmington,12.0,Men
2012,1196,1266,68,58,1,73.59565217391304,0.696969696969697,Florida,7.0,71.38285714285715,0.78125,Marquette,3.0,Men
2009,1443,1228,76,72,1,70.43478260869566,0.7419354838709677,WKU,12.0,61.74305555555556,0.7272727272727273,Illinois,5.0,Men
2002,1328,1112,88,67,1,73.97685185185185,0.8709677419354839,Oklahoma,2.0,82.02525252525251,0.7096774193548387,Arizona,3.0,Men
1991,1428,1375,82,72,1,66.43333333333334,0.8928571428571429,Utah,4.0,87.27083333333334,0.7241379310344828,South Alabama,13.0,Men
1998,1246,1428,78,69,1,76.44827586206897,0.8787878787878788,Kentucky,2.0,65.3125,0.8888888888888888,Utah,3.0,Men
1989,1417,1235,84,74,1,80.5,0.6896551724137931,UCLA,7.0,86.01604278074866,0.6071428571428571,Iowa St,10.0,Men
2006,1207,1320,54,49,1,64.19047619047619,0.7,Georgetown,7.0,62.32539682539683,0.7,Northern Iowa,10.0,Men
2016,1372,1452,70,56,1,72.90869565217392,0.8214285714285714,SF Austin,14.0,74.20192307692308,0.7647058823529411,West Virginia,3.0,Men
2002,1458,1385,80,70,1,65.24019607843137,0.5862068965517241,Wisconsin,8.0,68.28636363636363,0.6451612903225806,St John's,9.0,Men
2015,1211,1295,86,76,1,72.73387096774194,0.9393939393939394,Gonzaga,2.0,62.61904761904762,0.7,N Dakota St,15.0,Men
2021,1211,1417,93,90,1,46.05769230769231,1.0,Gonzaga,1.0,71.33986928104575,0.6538461538461539,UCLA,11.0,Men
2015,1462,1279,76,57,1,72.95421245421245,0.6176470588235294,Xavier,6.0,71.9,0.625,Mississippi,11.0,Men
2021,1332,1234,95,80,1,71.91666666666666,0.7692307692307693,Oregon,7.0,81.24107142857143,0.7241379310344828,Iowa,2.0,Men
2006,1452,1322,67,54,1,69.15,0.6551724137931034,West Virginia,6.0,73.16233766233766,0.7586206896551724,Northwestern LA,14.0,Men
